TOWN	LATITUDE	LONGITUDE
Troon, Scotland, the UK	55.540001	-4.660000
St.Asaph, Wales, the UK	53.257999	-3.442000
Stirling, Scotland, UK	56.116600	-3.936900
Welling, Bexley, London, the UK	51.456600	0.105600
Bonnybridge, Scotland, UK	56.003227	-3.888634
Soham, Ely, UK	52.335213	0.337508
Boulmer, Northumberland, UK	55.422272	-1.579536
Higham Ferrers, East Northamptonshire, England, the UK	52.307373	-0.592841
Kesgrave, Ipswich, UK	52.062569	1.233907
Broadstairs, Thanet, Kent, the UK	51.360165	1.432038
Kirkcaldy, Fife, Scotland, the UK	56.116825	-3.158137
Sandgate, Folkestone, Kent, the UK	51.075863	1.139325
Lurgan, Craigavon, UK	54.463528	-6.334551
Scone, Perth, UK	56.419434	-3.401932
Porthcawl, South Wales, the UK	51.478970	-3.705163
Formby, Liverpool, UK	53.558270	-3.068743
Helston, Cornwall, UK	50.101593	-5.274996
Kidwelly, Wales, UK	51.736259	-4.307471
Slough, Berkshire, UK	51.510536	-0.595041
Grantown-on-Spey, Scotland, UK	57.330410	-3.609628
Dunblane, Stirling, Scotland, UK	56.183876	-3.967449
Leighton Buzzard, Bedfordshire, UK	51.919685	-0.660657
Beaulieu, Brockenhurst, UK	50.815018	-1.451122
Wooburn Green, Buckinghamshire, UK	51.589001	-0.678924
Port Talbot, Wales, the UK	51.594681	-3.784097
Veryan, Truro, UK	50.218964	-4.923122
Ballymena, Antrim, Northern Ireland, UK	54.865292	-6.280221
Portmeirion, Penrhyndeudraeth, UK	52.914497	-4.097332
Church Stretton, SY, UK	52.540699	-2.803484
Amberley, Arundel, UK	50.906315	-0.533755
Chertsey, Surrey, the UK	51.386490	-0.509456
Tonbridge, West Kent, the UK	51.195042	0.275680
Pitlochry, Perth and Kinross, the UK	56.704361	-3.729711
Armagh, Northern Ireland, UK	54.350281	-6.652792
Stenson Fields, Derby, UK	52.874050	-1.501679
Bangor, North Wales, the UK	53.227390	-4.129263
Rye, East Sussex, UK	50.949707	0.737260
Christchurch, Dorset, UK	50.736782	-1.777897
Lerwick, Shetland, UK	60.152988	-1.149293
Maidstone, Kent, UK	51.272644	0.525270
Dunfermline, Scotland, UK	56.071739	-3.452151
Toton, Nottingham, UK	52.906425	-1.253231
Windsor, Berkshire UK	51.481728	-0.613576
Capel Curig, Betws-y-Coed, the UK	53.106152	-3.912360
Queensferry, Scotland, the UK	55.992622	-3.409195
Braintree, Essex, UK	51.876534	0.553436
Stroud, Gloucestershire, UK	51.745735	-2.217758
Hunterston, North Ayrshire, UK	55.723331	-4.898329
Marazion, Cornwall, England, UK	50.125000	-5.476000
Ivybridge, Devon, UK	50.390202	-3.920431
Aberystwyth, Ceredigion, SY, UK	52.415089	-4.083116
Llanrwst, Conwy, North Wales, UK	53.137032	-3.795732
Chalton, Central Bedfordshire, UK	51.925957	-0.500873
Cannock, Staffordshire, UK	52.699940	-2.021829
