TOWN	LATITUDE	LONGITUDE	WIND_SPEED	WIND_DEGREES
Troon, Scotland, the UK	55.540001	-4.66	3.09	210
St.Asaph, Wales, the UK	53.257999	-3.442	1.33	116
Stirling, Scotland, UK	56.1166	-3.9369	1.96	202
Welling, Bexley, London, the UK	51.4566	0.1056	6.17	90
Bonnybridge, Scotland, UK	56.003227	-3.888634	1.96	196
Soham, Ely, UK	52.335213	0.337508	3.47	130
Boulmer, Northumberland, UK	55.422272	-1.579536	4.96	150
Higham Ferrers, East Northamptonshire, England, the UK	52.307373	-0.592841	3.5	131
Kesgrave, Ipswich, UK	52.062569	1.233907	1.34	71
Broadstairs, Thanet, Kent, the UK	51.360165	1.432038	1.79	338
Kirkcaldy, Fife, Scotland, the UK	56.116825	-3.158137	0.89	192
Sandgate, Folkestone, Kent, the UK	51.075863	1.139325	6.17	70
Lurgan, Craigavon, UK	54.463528	-6.334551	4.64	157
Scone, Perth, UK	56.419434	-3.401932	3.23	196
Porthcawl, South Wales, the UK	51.47897	-3.705163	3.77	132
Formby, Liverpool, UK	53.55827	-3.068743	1.64	18
Helston, Cornwall, UK	50.101593	-5.274996	4.87	112
Kidwelly, Wales, UK	51.736259	-4.307471	1.83	133
Slough, Berkshire, UK	51.510536	-0.595041	5.14	100
Grantown-on-Spey, Scotland, UK	57.33041	-3.609628	2.46	179
Dunblane, Stirling, Scotland, UK	56.183876	-3.967449	1.99	205
Leighton Buzzard, Bedfordshire, UK	51.919685	-0.660657	3.68	108
Beaulieu, Brockenhurst, UK	50.815018	-1.451122	1.54	130
Wooburn Green, Buckinghamshire, UK	51.589001	-0.678924	5.14	100
Port Talbot, Wales, the UK	51.594681	-3.784097	3.63	133
Veryan, Truro, UK	50.218964	-4.923122	4.8	107
Ballymena, Antrim, Northern Ireland, UK	54.865292	-6.280221	4.8	163
Portmeirion, Penrhyndeudraeth, UK	52.914497	-4.097332	1.83	191
Church Stretton, SY, UK	52.540699	-2.803484	2.71	173
Amberley, Arundel, UK	50.906315	-0.533755	4.12	110
Chertsey, Surrey, the UK	51.38649	-0.509456	5.14	100
Tonbridge, West Kent, the UK	51.195042	0.27568	3.17	73
Pitlochry, Perth and Kinross, the UK	56.704361	-3.729711	2.51	155
Armagh, Northern Ireland, UK	54.350281	-6.652792	5.46	174
Stenson Fields, Derby, UK	52.87405	-1.501679	5.14	140
Bangor, North Wales, the UK	53.22739	-4.129263	4.12	230
Rye, East Sussex, UK	50.949707	0.73726	6.17	70
Christchurch, Dorset, UK	50.736782	-1.777897	2.57	170
Lerwick, Shetland, UK	60.152988	-1.149293	9.1	166
Maidstone, Kent, UK	51.272644	0.52527	2.98	69
Dunfermline, Scotland, UK	56.071739	-3.452151	1.54	220
Toton, Nottingham, UK	52.906425	-1.253231	5.14	140
Windsor, Berkshire UK	51.481728	-0.613576	5.14	100
Capel Curig, Betws-y-Coed, the UK	53.106152	-3.91236	1.37	191
Queensferry, Scotland, the UK	55.992622	-3.409195	1.54	220
Braintree, Essex, UK	51.876534	0.553436	3.02	102
Stroud, Gloucestershire, UK	51.745735	-2.217758	2.13	180
Hunterston, North Ayrshire, UK	55.723331	-4.898329	4.53	165
Marazion, Cornwall, England, UK	50.125	-5.476	4.89	123
Ivybridge, Devon, UK	50.390202	-3.920431	3.4	77
Aberystwyth, Ceredigion, SY, UK	52.415089	-4.083116	2.05	176
Llanrwst, Conwy, North Wales, UK	53.137032	-3.795732	1.45	178
Chalton, Central Bedfordshire, UK	51.925957	-0.500873	3.09	100
Cannock, Staffordshire, UK	52.69994	-2.021829	3.26	155
Cambuslang, Glasgow, South Lanarkshire, UK	55.81879	-4.167187	3.09	180
Marlow, Windsor and Maidenhead, UK	51.572803	-0.776339	3.28	105
Dukinfield, Tameside, UK	53.478764	-2.094523	2.06	180
Musselburgh, Edinburgh, UK	55.94228	-3.052139	1.54	220
South Benfleet, Essex, UK	51.56736	0.550539	4.12	80
Minions, Liskeard, Cornwall, UK	50.514999	-4.45394	3.07	136
Caerwnon Park, Builth Wells, Powys, UK	52.179485	-3.440298	2.41	182
Odiham, Hampshire, UK	51.254383	-0.939525	3.22	142
Redruth, Cornwall, UK	50.233021	-5.226666	4.88	122
Sawston, Cambridge, Cambridgeshire, UK	52.122665	0.169775	3.45	126
Brierley Hill, West Midlands, UK	52.482533	-2.121166	3.04	152
Cheadle, Stoke-on-Trent, Staffordshire, UK	52.986115	-1.986144	2.92	142
Dorchester, Dorset, UK	50.711163	-2.441181	0.89	133
Bo'ness, West Lothian, UK	56.013035	-3.603531	1.54	220
Alton, Hampshire, UK	51.150719	-0.973177	0.45	184
Littleport, Ely, Cambridgeshire, UK	52.45665	0.307016	3.53	133
Balloch, West Dunbartonshire, UK	56.002716	-4.580081	3.09	180
Mapperley, Ilkeston, Derbyshire, UK	52.982136	-1.351061	5.14	140
Stone, Staffordshire, UK	52.906002	-2.147913	3.42	149
Beverley, East Riding of Yorkshire , UK	53.841965	-0.435093	4.84	137
Harringay, London, UK	51.581551	-0.099649	6.17	90
Wem, Shrewsbury, Shropshire, UK	52.853638	-2.726712	3.41	163
Dalnatrat, Appin, Highland, UK	56.62674	-5.313209	2.66	164
Send Marsh, Surrey, UK	51.29134	-0.513182	2.84	120
Anlaby, Hull, East Riding of Yorkshire, UK	53.745766	-0.432844	4.63	120
Tring, Hertfordshire, UK	51.796078	-0.655879	3.74	102
Hathersage, Hope Valley, Derbyshire, UK	53.330009	-1.656355	2.71	165
Chatteris, Cambridgeshire, UK	52.4561	0.054012	3.58	136
Duffield, Belper, Derbyshire, UK	52.984695	-1.487313	3.35	147
Penryn, Cornwall, UK	50.169174	-5.107088	4.75	112
Cinderford, Gloucestershire, UK	51.825302	-2.500958	2.58	211
Edmonton, London, UK	51.61359	-0.062553	6.17	90
Baberton, Edinburgh, City of Edinburgh, UK	55.908749	-3.288481	1.54	220
Wallasey, Merseyside, UK	53.426521	-3.066215	5.14	290
Richmond, North Yorkshire, UK	54.403465	-1.732618	3.17	170
Llanrumney, Cardiff, UK	51.521854	-3.120664	2.67	181
Wigan, Wigan, UK	53.545067	-2.632507	1.79	285
Ashton-in-Makerfield, UK	53.486958	-2.642566	1.79	285
Astley Bridge, Bolton, Bolton, UK	53.60659	-2.429451	2.57	163
Hartlepool, Hartlepool, UK	54.691746	-1.212926	5.39	158
Kirkby Lonsdale, Carnforth, Cumbria, UK	54.204918	-2.60171	1.91	179
Woodley, Wokingham, UK	51.451653	-0.902918	2.94	118
Walkden, Manchester, UK	53.523705	-2.398682	2.77	158
Goff's Oak, Hertfordshire, UK	51.709118	-0.086642	3.5	101
Ferring, West Sussex, UK	50.808994	-0.442571	4.12	110
Goole, East Riding of Yorkshire, UK	53.702942	-0.876381	4.47	151
Bourne, Bourne, Lincolnshire, UK	52.772446	-0.372849	3.68	149
Cardenden, Lochgelly, Fife, UK	56.148895	-3.256773	0.45	171
Dyce, Aberdeen, Aberdeen City, UK	57.203514	-2.190188	6.17	170
Chatham, Medway, UK	51.380951	0.52213	1.79	180
Cirencester, Gloucestershire, UK	51.718494	-1.968243	2.28	151
Boston, Lincolnshire, UK	52.978939	-0.026577	3.96	147
Port Solent, Portsmouth, Hampshire, UK	50.842991	-1.101002	1.34	110
Tadley, Hampshire, UK	51.3438	-1.132169	2.76	144
Fulham, London, UK	51.47871	-0.201702	6.17	90
Peterlee, County Durham, UK	54.765442	-1.323166	5.02	161
Harrow, London, UK	51.583015	-0.33782	5.14	100
Swadlincote, Derbyshire, UK	52.771317	-1.554997	5.14	140
Diss, Norfolk, UK	52.376492	1.108394	0.89	115
Redruth, Redruth, Cornwall, UK	50.239738	-5.237045	4.9	123
